ALARM_NUMBER;SEVERITY;ALARM_TIME;CANCEL_STATE;CANCEL_TIME;NAME;CONSECUTIVE_NUMBER;ALARM_INSERTION_TIME;ALARM_UPDATE_TIME
7706;Major;07/09/2020 08:55;TRUE;07/09/2020 08:56;2G_KLK020;;;
7706;Major;07/09/2020 08:55;TRUE;07/09/2020 08:55;2G_KLK036;;;
7706;Major;07/09/2020 08:54;TRUE;07/09/2020 08:54;2G_KLK020;;;
7706;Major;07/09/2020 08:53;TRUE;07/09/2020 08:53;2G_KLK020;;;
7706;Major;07/09/2020 08:51;TRUE;07/09/2020 08:51;2G_KLK020;;;
7706;Major;07/09/2020 08:49;TRUE;07/09/2020 08:50;2G_KLK020;;;
7706;Major;07/09/2020 08:48;TRUE;07/09/2020 08:49;2G_KLK036;;;
7786;Major;07/09/2020 08:47;TRUE;07/09/2020 08:47;3G_ZG002;;;
7786;Major;07/09/2020 08:47;TRUE;07/09/2020 08:48;3G_ZG050;;;
7786;Major;07/09/2020 08:47;TRUE;07/09/2020 08:47;3G_ZG052;;;
7786;Major;07/09/2020 08:47;TRUE;07/09/2020 08:47;3G_ZG001;;;
7786;Major;07/09/2020 08:47;TRUE;07/09/2020 08:47;3G_ZG004;;;
7786;Major;07/09/2020 08:47;TRUE;07/09/2020 08:47;3G_ZG051;;;
7706;Major;07/09/2020 08:46;TRUE;07/09/2020 08:47;2G_KLK020;;;
7706;Major;07/09/2020 08:44;TRUE;07/09/2020 08:46;2G_KLK020;;;
7706;Major;07/09/2020 08:42;TRUE;07/09/2020 08:43;2G_KLK020;;;
7706;Major;07/09/2020 08:41;TRUE;07/09/2020 08:42;2G_KLK020;;;
7706;Major;07/09/2020 08:39;TRUE;07/09/2020 08:40;2G_KLK020;;;
7706;Major;07/09/2020 08:38;TRUE;07/09/2020 08:38;2G_KLK020;;;
7706;Major;07/09/2020 08:33;TRUE;07/09/2020 08:37;2G_KLK020;;;
7786;Major;07/09/2020 08:30;TRUE;07/09/2020 08:31;3G_ZG052;;;
7786;Major;07/09/2020 08:30;TRUE;07/09/2020 08:31;3G_ZG002;;;
