ALARM_NUMBER,ALARM_TYPE,SEVERITY,ALARM_TIME,CANCEL_STATE,CANCEL_TIME,NAME,CONSECUTIVE_NUMBER,ALARM_INSERTION_TIME,ALARM_UPDATE_TIME
7706,,Major,7/9/2020 8:55,TRUE,7/9/2020 8:56,2G_KLK020,,,
7706,,Major,7/9/2020 8:55,TRUE,7/9/2020 8:55,2G_KLK036,,,
7706,,Major,7/9/2020 8:54,TRUE,7/9/2020 8:54,2G_KLK020,,,
7706,,Major,7/9/2020 8:53,TRUE,7/9/2020 8:53,2G_KLK020,,,
7706,,Major,7/9/2020 8:51,TRUE,7/9/2020 8:51,2G_KLK020,,,
7706,,Major,7/9/2020 8:49,TRUE,7/9/2020 8:50,2G_KLK020,,,
7706,,Major,7/9/2020 8:48,TRUE,7/9/2020 8:49,2G_KLK036,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG002,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:48,3G_ZG050,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG052,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG001,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG004,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG051,,,
7706,,Major,7/9/2020 8:46,TRUE,7/9/2020 8:47,2G_KLK020,,,
7706,,Major,7/9/2020 8:44,TRUE,7/9/2020 8:46,2G_KLK020,,,
7706,,Major,7/9/2020 8:42,TRUE,7/9/2020 8:43,2G_KLK020,,,
7706,,Major,7/9/2020 8:41,TRUE,7/9/2020 8:42,2G_KLK020,,,
7706,,Major,7/9/2020 8:39,TRUE,7/9/2020 8:40,2G_KLK020,,,
7706,,Major,7/9/2020 8:38,TRUE,7/9/2020 8:38,2G_KLK020,,,
7706,,Major,7/9/2020 8:33,TRUE,7/9/2020 8:37,2G_KLK020,,,
7786,,Major,7/9/2020 8:30,TRUE,7/9/2020 8:31,3G_ZG052,,,
7786,,Major,7/9/2020 8:30,TRUE,7/9/2020 8:31,3G_ZG002,,,
7786,,Major,7/9/2020 8:30,TRUE,7/9/2020 8:31,3G_ZG051,,,
7706,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:32,2G_KLK020,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG004,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG050,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG001,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG002,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG052,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG051,,,
7706,,Major,7/9/2020 8:27,TRUE,7/9/2020 8:28,2G_KLK020,,,
7706,,Major,7/9/2020 8:23,TRUE,7/9/2020 8:23,2G_KLK020,,,
7706,,Major,7/9/2020 8:21,TRUE,7/9/2020 8:22,2G_KLK020,,,
7706,,Major,7/9/2020 8:18,TRUE,7/9/2020 8:20,2G_KLK020,,,
7706,,Major,7/9/2020 8:17,TRUE,7/9/2020 8:18,2G_KLK020,,,
7706,,Major,7/9/2020 8:15,TRUE,7/9/2020 8:15,2G_KLK020,,,
7706,,Major,7/9/2020 8:14,TRUE,7/9/2020 8:14,2G_KLK020,,,
7706,,Major,7/9/2020 8:12,TRUE,7/9/2020 8:13,2G_KLK020,,,
7706,,Major,7/9/2020 8:09,TRUE,7/9/2020 8:12,2G_KLK020,,,
7706,,Major,7/9/2020 8:08,TRUE,7/9/2020 8:08,2G_KLK020,,,
7706,,Major,7/9/2020 8:03,TRUE,7/9/2020 8:06,2G_KLK020,,,
7706,,Major,7/9/2020 8:03,TRUE,7/9/2020 8:03,2G_KLK020,,,
7706,,Major,7/9/2020 8:01,TRUE,7/9/2020 8:02,2G_KLK020,,,
7706,,Major,7/9/2020 7:59,TRUE,7/9/2020 8:00,2G_KLK020,,,
7706,,Major,7/9/2020 7:57,TRUE,7/9/2020 7:58,2G_KLK020,,,
7706,,Major,7/9/2020 7:55,TRUE,7/9/2020 7:56,2G_KLK020,,,
7706,,Major,7/9/2020 7:53,TRUE,7/9/2020 7:54,2G_KLK020,,,
7706,,Major,7/9/2020 7:51,TRUE,7/9/2020 7:52,2G_KLK020,,,
7706,,Major,7/9/2020 7:49,TRUE,7/9/2020 7:50,2G_KLK020,,,
7706,,Major,7/9/2020 7:48,TRUE,7/9/2020 7:48,2G_KLK020,,,
7706,,Major,7/9/2020 7:45,TRUE,7/9/2020 7:47,2G_KLK020,,,
7706,,Major,7/9/2020 7:43,TRUE,7/9/2020 7:44,2G_KLK020,,,
7706,,Major,7/9/2020 7:41,TRUE,7/9/2020 7:42,2G_KLK020,,,
7706,,Major,7/9/2020 7:40,TRUE,7/9/2020 7:40,2G_KLK020,,,
7706,,Major,7/9/2020 7:39,TRUE,7/9/2020 7:39,2G_KLK020,,,
7706,,Major,7/9/2020 7:37,TRUE,7/9/2020 7:38,2G_KLK020,,,
7706,,Major,7/9/2020 7:35,TRUE,7/9/2020 7:36,2G_KLK020,,,
