NO;BSC;SITE_NAME;CELL_NAME;CELLID;ADDRESS;REGION;TYPE;SITE_ID;DEPARTEMENT;COMMUNE;LONGITUDE;LATITUDE;Azimuth
1;Thies_BSC;K-DBL001;K-DBL001_1;608030020122011;quartier escale/ TH KANDJI LT 215;Diourbel;GSM;2201;Diourbel;Patar;-16,233199;14,663841;70
2;Thies_BSC;K-DBL001;K-DBL001_2;608030020122012;quartier escale/ TH KANDJI LT 215;Diourbel;GSM;2201;Diourbel;Patar;-16,233199;14,663841;210
3;Thies_BSC;K-DBL001;K-DBL001_3;608030020122013;quartier escale/ TH KANDJI LT 215;Diourbel;GSM;2201;Diourbel;Patar;-16,233199;14,663841;310
4;Thies_BSC;K-DBL001;K-DBL001_4;608030020122014;quartier escale/ TH KANDJI LT 215;Diourbel;GSM;2201;Diourbel;Patar;-16,233199;14,663841;70
5;Thies_BSC;K-DBL001;K-DBL001_5;608030020122015;quartier escale/ TH KANDJI LT 215;Diourbel;GSM;2201;Diourbel;Patar;-16,233199;14,663841;210
6;Thies_BSC;K-DBL001;K-DBL001_6;608030020122016;quartier escale/ TH KANDJI LT 215;Diourbel;GSM;2201;Diourbel;Patar;-16,233199;14,663841;310
7;Dakar_RNC;W-DBL001;W-DBL001-1;608030301322011;quartier escale/ TH KANDJI LT 215;Diourbel;WCDMA;2201;Diourbel;Patar;-16,233199;14,663841;70
8;Dakar_RNC;W-DBL001;W-DBL001-2;608030301322012;quartier escale/ TH KANDJI LT 215;Diourbel;WCDMA;2201;Diourbel;Patar;-16,233199;14,663841;210
9;Dakar_RNC;W-DBL001;W-DBL001-3;608030301322013;quartier escale/ TH KANDJI LT 215;Diourbel;WCDMA;2201;Diourbel;Patar;-16,233199;14,663841;310
10;Dakar_RNC;W-DBL001;W-DBL001-4;608030301322014;quartier escale/ TH KANDJI LT 215;Diourbel;WCDMA;2201;Diourbel;Patar;-16,233199;14,663841;70
11;Dakar_RNC;W-DBL001;W-DBL001-5;608030301322015;quartier escale/ TH KANDJI LT 215;Diourbel;WCDMA;2201;Diourbel;Patar;-16,233199;14,663841;210
12;Dakar_RNC;W-DBL001;W-DBL001-6;608030301322016;quartier escale/ TH KANDJI LT 215;Diourbel;WCDMA;2201;Diourbel;Patar;-16,233199;14,663841;310
13;Thies_BSC;K-DBL002;K-DBL002_1;608030020122021;derriere la gare;Diourbel;GSM;2202;Diourbel;Patar;-16,23269;14,64682;0
14;Thies_BSC;K-DBL002;K-DBL002_2;608030020122022;derriere la gare;Diourbel;GSM;2202;Diourbel;Patar;-16,23269;14,64682;180
15;Thies_BSC;K-DBL002;K-DBL002_3;608030020122023;derriere la gare;Diourbel;GSM;2202;Diourbel;Patar;-16,23269;14,64682;280
16;Thies_BSC;K-DBL002;K-DBL002_4;608030020122024;derriere la gare;Diourbel;GSM;2202;Diourbel;Patar;-16,23269;14,64682;0
