ALARM_NUMBER;ALARM_TYPE;SEVERITY;ALARM_TIME;CANCEL_STATE;CANCEL_TIME;NAME;CONSECUTIVE_NUMBER;ALARM_INSERTION_TIME;ALARM_UPDATE_TIME
7706;Communication;Major;09/07/2020 08:55;VRAI;09/07/2020 08:56;2G_KLK020;;09/07/2020 08:55;09/07/2020 08:55
7706;Communication;Major;09/07/2020 08:55;VRAI;09/07/2020 08:55;2G_KLK036;;09/07/2020 08:55;09/07/2020 08:55
7706;Communication;Major;09/07/2020 08:54;VRAI;09/07/2020 08:54;2G_KLK020;;09/07/2020 08:54;09/07/2020 08:54
7706;Communication;Major;09/07/2020 08:53;VRAI;09/07/2020 08:53;2G_KLK020;;09/07/2020 08:53;09/07/2020 08:53
7706;Communication;Major;09/07/2020 08:51;VRAI;09/07/2020 08:51;2G_KLK020;;09/07/2020 08:51;09/07/2020 08:51
7706;Communication;Major;09/07/2020 08:49;VRAI;09/07/2020 08:50;2G_KLK020;;09/07/2020 08:49;09/07/2020 08:49
7706;Communication;Major;09/07/2020 08:48;VRAI;09/07/2020 08:49;2G_KLK036;;09/07/2020 08:48;09/07/2020 08:48
7786;Quality Of Service;Major;09/07/2020 08:47;VRAI;09/07/2020 08:47;3G_ZG002;;09/07/2020 08:47;09/07/2020 08:47
7786;Quality Of Service;Major;09/07/2020 08:47;VRAI;09/07/2020 08:48;3G_ZG050;;09/07/2020 08:47;09/07/2020 08:47
7786;Quality Of Service;Major;09/07/2020 08:47;VRAI;09/07/2020 08:47;3G_ZG052;;09/07/2020 08:47;09/07/2020 08:47
7786;Quality Of Service;Major;09/07/2020 08:47;VRAI;09/07/2020 08:47;3G_ZG001;;09/07/2020 08:47;09/07/2020 08:47
7786;Quality Of Service;Major;09/07/2020 08:47;VRAI;09/07/2020 08:47;3G_ZG004;;09/07/2020 08:47;09/07/2020 08:47
7786;Quality Of Service;Major;09/07/2020 08:47;VRAI;09/07/2020 08:47;3G_ZG051;;09/07/2020 08:47;09/07/2020 08:47
7706;Communication;Major;09/07/2020 08:46;VRAI;09/07/2020 08:47;2G_KLK020;;09/07/2020 08:47;09/07/2020 08:46
7706;Communication;Major;09/07/2020 08:44;VRAI;09/07/2020 08:46;2G_KLK020;;09/07/2020 08:44;09/07/2020 08:44
