ALARM_NUMBER;ALARM_TYPE;SEVERITY;ALARM_TIME;CANCEL_STATE;CANCEL_TIME;NAME;CONSECUTIVE_NUMBER;ALARM_INSERTION_TIME;ALARM_UPDATE_TIME
7706;Communication;Major;6/30/2020 23:29;TRUE;6/30/2020 23:29;2G_KLK020;7151094;6/30/2020 23:29;6/30/2020 23:29
7786;Quality Of Service;Major;6/30/2020 19:19;TRUE;6/30/2020 19:20;3G_KLK014;7141532;6/30/2020 19:19;6/30/2020 19:19
7706;Communication;Major;6/30/2020 18:22;TRUE;07/01/2020 07:31;2G_KLK023;7139151;6/30/2020 18:22;6/30/2020 18:22
7706;Communication;Major;6/30/2020 14:33;TRUE;6/30/2020 14:33;2G_DBL006;7128387;6/30/2020 14:33;6/30/2020 14:33
7706;Communication;Major;6/30/2020 13:49;TRUE;6/30/2020 13:54;2G_DBL006;7126602;6/30/2020 13:49;6/30/2020 13:49
7706;Communication;Major;6/30/2020 13:46;TRUE;6/30/2020 13:48;2G_DBL006;7126395;6/30/2020 13:46;6/30/2020 13:46
7706;Communication;Major;6/30/2020 12:26;TRUE;6/30/2020 12:26;2G_DBL006;7123059;6/30/2020 12:26;6/30/2020 12:26
7706;Communication;Major;6/30/2020 11:21;TRUE;6/30/2020 12:17;2G_DBL006;7120165;6/30/2020 11:21;6/30/2020 11:21
7706;Communication;Major;6/30/2020 9:25;TRUE;6/30/2020 9:26;2G_KLK014;7114255;6/30/2020 9:25;6/30/2020 9:25
7786;Quality Of Service;Major;6/30/2020 9:24;TRUE;6/30/2020 9:28;3G_KLK014;7114206;6/30/2020 9:25;6/30/2020 9:24
7786;Quality Of Service;Major;6/30/2020 8:51;TRUE;6/30/2020 8:52;3G_KLK014;7112840;6/30/2020 8:52;6/30/2020 8:51
7786;Quality Of Service;Major;6/30/2020 8:46;TRUE;6/30/2020 8:47;3G_KLK014;7112668;6/30/2020 8:46;6/30/2020 8:46
7786;Quality Of Service;Major;6/30/2020 8:42;TRUE;6/30/2020 8:43;3G_KLK014;7112557;6/30/2020 8:42;6/30/2020 8:42
7706;Communication;Major;6/30/2020 4:11;TRUE;6/30/2020 4:11;2G_KLK020;7107307;6/30/2020 4:11;6/30/2020 4:11
7706;Communication;Major;6/30/2020 4:01;TRUE;6/30/2020 4:01;2G_KLK020;7106884;6/30/2020 4:01;6/30/2020 4:01
7706;Communication;Major;6/30/2020 3:57;TRUE;6/30/2020 3:57;2G_KLK020;7106738;6/30/2020 3:57;6/30/2020 3:57
7706;Communication;Major;6/30/2020 3:54;TRUE;6/30/2020 3:54;2G_KLK020;7106586;6/30/2020 3:54;6/30/2020 3:54
7706;Communication;Major;6/30/2020 3:24;TRUE;6/30/2020 3:24;2G_KLK020;7105561;6/30/2020 3:24;6/30/2020 3:24
7706;Communication;Major;6/30/2020 3:19;TRUE;6/30/2020 3:20;2G_KLK020;7105380;6/30/2020 3:19;6/30/2020 3:19
7706;Communication;Major;6/30/2020 3:12;TRUE;6/30/2020 3:13;2G_KLK020;7105193;6/30/2020 3:12;6/30/2020 3:12
7706;Communication;Major;6/30/2020 3:09;TRUE;6/30/2020 3:09;2G_KLK020;7105083;6/30/2020 3:09;6/30/2020 3:09
7706;Communication;Major;6/30/2020 3:07;TRUE;6/30/2020 3:08;2G_KLK020;7105007;6/30/2020 3:07;6/30/2020 3:07
7706;Communication;Major;6/30/2020 3:05;TRUE;6/30/2020 3:06;2G_KLK020;7104850;6/30/2020 3:05;6/30/2020 3:05
7706;Communication;Major;6/30/2020 3:00;TRUE;6/30/2020 3:01;2G_KLK020;7104597;6/30/2020 3:00;6/30/2020 3:00
7706;Communication;Major;6/30/2020 2:57;TRUE;6/30/2020 2:59;2G_KLK020;7104429;6/30/2020 2:57;6/30/2020 2:57
7706;Communication;Major;6/30/2020 2:55;TRUE;6/30/2020 2:56;2G_KLK020;7104331;6/30/2020 2:55;6/30/2020 2:55
7706;Communication;Major;6/30/2020 2:53;TRUE;6/30/2020 2:53;2G_KLK020;7104203;6/30/2020 2:53;6/30/2020 2:53
7706;Communication;Major;6/30/2020 2:52;TRUE;6/30/2020 2:52;2G_KLK020;7104141;6/30/2020 2:52;6/30/2020 2:52
7706;Communication;Major;6/30/2020 2:49;TRUE;6/30/2020 2:51;2G_KLK020;7103989;6/30/2020 2:49;6/30/2020 2:49
