nb_sms;name_client
123;AMEEPA
211973;AppliTV
9514;ASKIA ASSURANCES
205123;Banque Atlantique
1;BNDE
191666;CMS
10048;CORIS BANK
92;COURS SAINTE MARIE DE GOLF
1007;DAKAR TERMINAL
3637;EXCAF TNT
213389;Expresso
3519;Golden Eyes Afrique
13;GROUPE LA POSTE
1364;INSTITUT AFRICAIN DES ETUDES DU DEVELOPPEMENT
151;LEBALMA
1;MECZY
28;SANOO MOBILE
1;SCHÃœLLER
1;SCHÜLLER
7;Sesa technologies
1307;SIITAV
5964;SociÃ©tÃ© des Cultures LÃ©gumiÃ¨res de Saint Louis
5562;Société des Cultures Légumières de Saint Louis
17;SUBITO INTERNATIONAL SUARL
619;SUNULABO
5862;SUP INFO
44271;UBA
339;WAFA ASSURANCE SA
23787;WIREPICK
