ALARM_NUMBER,SEVERITY,ALARM_TIME,CANCEL_STATE,CANCEL_TIME,NAME,CONSECUTIVE_NUMBER,ALARM_INSERTION_TIME,ALARM_UPDATE_TIME
7706,Major,44021.37209,TRUE,44021.3725,2G_KLK020,,,
7706,Major,44021.37198,TRUE,44021.3722,2G_KLK036,,,
7706,Major,44021.37096,TRUE,44021.37144,2G_KLK020,,,
7706,Major,44021.37031,TRUE,44021.37059,2G_KLK020,,,
7706,Major,44021.36881,TRUE,44021.36919,2G_KLK020,,,
7706,Major,44021.36762,TRUE,44021.36834,2G_KLK020,,,
7706,Major,44021.36719,TRUE,44021.3677,2G_KLK036,,,
7786,Major,44021.36617,TRUE,44021.36661,3G_ZG002,,,
7786,Major,44021.36613,TRUE,44021.36667,3G_ZG050,,,
7786,Major,44021.366,TRUE,44021.36661,3G_ZG052,,,
7786,Major,44021.366,TRUE,44021.36662,3G_ZG001,,,
7786,Major,44021.366,TRUE,44021.36661,3G_ZG004,,,
7786,Major,44021.366,TRUE,44021.36663,3G_ZG051,,,
7706,Major,44021.3659,TRUE,44021.36663,2G_KLK020,,,
7706,Major,44021.36439,TRUE,44021.36528,2G_KLK020,,,
7706,Major,44021.36316,TRUE,44021.36388,2G_KLK020,,,
7706,Major,44021.36225,TRUE,44021.36279,2G_KLK020,,,
7706,Major,44021.36067,TRUE,44021.36177,2G_KLK020,,,
7706,Major,44021.36009,TRUE,44021.36014,2G_KLK020,,,
7706,Major,44021.35648,TRUE,44021.35971,2G_KLK020,,,
7786,Major,44021.3547,TRUE,44021.35521,3G_ZG052,,,
7786,Major,44021.3547,TRUE,44021.3552,3G_ZG002,,,
7786,Major,44021.3547,TRUE,44021.3552,3G_ZG051,,,
7706,Major,44021.35353,TRUE,44021.35569,2G_KLK020,,,
7786,Major,44021.3535,TRUE,44021.35411,3G_ZG004,,,
7786,Major,44021.35348,TRUE,44021.35411,3G_ZG050,,,
7786,Major,44021.35348,TRUE,44021.3541,3G_ZG001,,,
7786,Major,44021.35348,TRUE,44021.3541,3G_ZG002,,,
7786,Major,44021.35347,TRUE,44021.35411,3G_ZG052,,,
7786,Major,44021.35347,TRUE,44021.3541,3G_ZG051,,,
7706,Major,44021.35263,TRUE,44021.35304,2G_KLK020,,,
7706,Major,44021.34985,TRUE,44021.34994,2G_KLK020,,,
7706,Major,44021.34829,TRUE,44021.34898,2G_KLK020,,,
